rte_consumption_scenario,rte_production_scenario,year,lcia_method,impact,impact_unit,process,absolute_lca,contrib_absolute_lca,contrib_lca_ratio,absolute_lca_per_kwh,contrib_absolute_lca_per_kwh
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,EU electricity market imports,0.0001561052027738,3.2340811253972687e-06,0.020717317987687611,3.2781436953566671e-16,1.5885213285777737e-15
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,Other life cycle contributions,0.0001561052027738,1.4087083615066833e-19,9.024096163841086e-16,3.2781436953566671e-16,
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,Transmission corona,0.0001561052027738,0,0,3.2781436953566671e-16,
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,coal,0.0001561052027738,5.3600086948394697e-06,0.034335874779306649,3.2781436953566671e-16,3.7649790880102452e-15
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, hydro, reservoir, alpine region",0.0001561052027738,4.221730031908854e-07,0.0027044134064040373,3.2781436953566671e-16,5.4915352071240988e-17
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, hydro, run-of-river",0.0001561052027738,2.4191207434623223e-06,0.015496733616032538,3.2781436953566671e-16,5.9937904626977644e-17
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, nuclear, pressure water reactor",0.0001561052027738,6.8054996566741573e-05,0.43595597941315778,3.2781436953566671e-16,2.0180776061119373e-16
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, photovoltaic",0.0001561052027738,6.1276982596101885e-06,0.039253645302836981,3.2781436953566671e-16,5.9368549637031806e-16
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, wind, 1-3MW turbine, onshore",0.0001561052027738,4.9669178490739651e-06,0.031817759823618064,3.2781436953566671e-16,1.6466615153862404e-16
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,fuel oil,0.0001561052027738,4.7955115387513422e-06,0.030719741901877207,3.2781436953566671e-16,2.3432798668665629e-15
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"heat and power co-generation, wood chips, 6667 kW",0.0001561052027738,4.125133205060514e-05,0.26425340935227676,3.2781436953566671e-16,4.7795091733116637e-15
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,natural gas,0.0001561052027738,1.4018328915279202e-05,0.089800523404668847,3.2781436953566671e-16,4.0815582403222936e-16
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,transmission network construction,0.0001561052027738,5.4550340268485092e-06,0.034944601012132682,3.2781436953566671e-16,
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,EU electricity market imports,0.043299745444682,0.00041077725731327071,0.0094868284581040574,9.0927646880322011e-14,2.0176625422665404e-13
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,Other life cycle contributions,0.043299745444682,1.8668830746825859e-07,4.3115336025881262e-06,9.0927646880322011e-14,
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,Transmission corona,0.043299745444682,0,0,9.0927646880322011e-14,
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,coal,0.043299745444682,0.0004733653535953333,0.010932289525814549,9.0927646880322011e-14,3.3250144892304338e-13
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,"electricity production, hydro, reservoir, alpine region",0.043299745444682,5.8577116487702127e-06,0.00013528281953190205,9.0927646880322011e-14,7.6195847458876951e-16
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,"electricity production, hydro, run-of-river",0.043299745444682,2.1722603295577689e-05,0.00050167969978783379,9.0927646880322011e-14,5.3821510484671761e-16
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,"electricity production, nuclear, pressure water reactor",0.043299745444682,0.041549457490144902,0.95957740775235745,9.0927646880322011e-14,1.2320921892148406e-13
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,"electricity production, photovoltaic",0.043299745444682,0.00024496395330818549,0.0056573993863576295,9.0927646880322011e-14,2.3733470554699641e-14
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,"electricity production, wind, 1-3MW turbine, onshore",0.043299745444682,8.2372075258163962e-05,0.0019023685800508732,9.0927646880322011e-14,2.7308469838160842e-15
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,fuel oil,0.043299745444682,1.8347716290520718e-05,0.00042373727840873838,9.0927646880322011e-14,8.96543232960983e-15
reference,m0,2019,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,"heat and power co-generation, wood chips, 6667 kW",0.043299745444682,0.00010312751276101342,0.0023817117560832996,9.0927646880322011e-14,1.1948678230734507e-14
