rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,year,lcia_method,impact,impact_unit,process,absolute_lca,contrib_absolute_lca,contrib_lca_ratio,absolute_lca_per_kwh,contrib_absolute_lca_per_kwh
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,EU electricity market imports,0.000121773,1.6843881369214951e-05,0.13832197095591758,1.7336720698254489e-16,1.6583085836765474e-16
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,Other life cycle contributions,0.000121773,8.5035919009520591e-06,0.069831505349724973,1.7336720698254489e-16,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,Transmission corona,0.000121773,0,0,1.7336720698254489e-16,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, hydro, reservoir, alpine region",0.000121773,0,0,1.7336720698254489e-16,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, photovoltaic",0.000121773,2.0303469141213367e-05,0.16673210926242571,1.7336720698254489e-16,9.1900196600874164e-17
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, wind, 1-3MW turbine, offshore",0.000121773,2.2839858329269811e-05,0.18756093985752023,1.7336720698254489e-16,1.2451943018620288e-16
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, wind, 1-3MW turbine, onshore",0.000121773,1.0804308731010832e-05,0.088724994300960244,1.7336720698254489e-16,8.5764952633717601e-17
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"heat and power co-generation, wood chips, 6667 kW",0.000121773,4.2477890528339011e-05,0.34882848027345154,1.7336720698254489e-16,5.281510067233569e-15
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,EU electricity market imports,0.011182081999999999,0.0099082389387169425,0.88608176354966295,1.5919820381380239e-14,9.7548184137152275e-14
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,Other life cycle contributions,0.011182081999999999,0.00063232324545454022,0.056547899170703658,1.5919820381380239e-14,
