rte_consumption_scenario,rte_production_scenario,ssp_scenario,year,lcia_method,impact,impact_unit,process,total_draw_count,process_present_draw_count,absolute_lca_mean,absolute_lca_min,absolute_lca_max,absolute_lca_p5,absolute_lca_p25,absolute_lca_median,absolute_lca_p75,absolute_lca_p95,contrib_absolute_lca_mean,contrib_absolute_lca_min,contrib_absolute_lca_max,contrib_absolute_lca_p5,contrib_absolute_lca_p25,contrib_absolute_lca_median,contrib_absolute_lca_p75,contrib_absolute_lca_p95,contrib_lca_ratio_mean,contrib_lca_ratio_min,contrib_lca_ratio_max,contrib_lca_ratio_p5,contrib_lca_ratio_p25,contrib_lca_ratio_median,contrib_lca_ratio_p75,contrib_lca_ratio_p95,absolute_lca_per_kwh_mean,absolute_lca_per_kwh_min,absolute_lca_per_kwh_max,absolute_lca_per_kwh_p5,absolute_lca_per_kwh_p25,absolute_lca_per_kwh_median,absolute_lca_per_kwh_p75,absolute_lca_per_kwh_p95,contrib_absolute_lca_per_kwh_mean,contrib_absolute_lca_per_kwh_min,contrib_absolute_lca_per_kwh_max,contrib_absolute_lca_per_kwh_p5,contrib_absolute_lca_per_kwh_p25,contrib_absolute_lca_per_kwh_median,contrib_absolute_lca_per_kwh_p75,contrib_absolute_lca_per_kwh_p95
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,EU electricity market imports,150000,150000,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,1.6599538696612638e-05,9.5811976027069246e-06,3.2227961985769657e-05,9.5811976027069246e-06,1.0378367155634713e-05,1.2809297805457072e-05,1.6843881369214951e-05,3.2227961985769657e-05,0.1342987237553421,0.08901232455436156,0.23127847736779159,0.08901232455436156,0.093620256509658592,0.11060137119938757,0.13832197095591758,0.23127847736779159,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,1.6342502956855901e-16,9.4328006448317238e-17,3.1728973816612748e-16,9.4328006448317238e-17,1.0217630520777868e-16,1.2610923360626955e-16,1.6583085836765474e-16,3.1728973816612748e-16
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,Other life cycle contributions,150000,150000,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,3.9642199161255522e-06,-3.4631118230561785e-20,8.6217976020816825e-06,-3.4631118230561785e-20,-1.731557125829982e-20,1.7315507947655718e-20,8.5035919009520591e-06,8.6217976020816825e-06,0.030961430046831707,-3.1239732834092685e-16,0.070823772076312574,-3.1239732834092685e-16,-1.6086707660141603e-16,1.500737384958894e-16,0.069831505349724973,0.070823772076312574,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,,,,,,,,
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,Transmission corona,150000,150000,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,-2.4390466553292113e-21,-3.2872476467223313e-20,2.8949470697470013e-20,-3.2872476467223313e-20,-2.1644448894101112e-21,0,0,2.8949470697470013e-20,-1.9781720803919569e-17,-2.8383608744310593e-16,2.6894964369299245e-16,-2.8383608744310593e-16,-1.9524833021307925e-17,0,0,2.6894964369299245e-16,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,,,,,,,,
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, hydro, reservoir, alpine region",150000,150000,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,1.9499098482474293e-07,0,3.7123717928481781e-07,0,0,3.5692062800455947e-07,3.6577444359768984e-07,3.7123717928481781e-07,0.0017505688782347222,0,0.0033234095431276564,0,0,0.0032037972428522587,0.0032995457494198769,0.0033234095431276564,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,2.3645835056953432e-17,0,4.5018546923786541e-17,0,0,4.3282662307280257e-17,4.4356060486738748e-17,4.5018546923786541e-17
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, hydro, run-of-river",150000,80202,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,1.1808124464776809e-06,0,2.233205641737618e-06,0,0,2.1677763415391973e-06,2.2150702733315501e-06,2.233205641737618e-06,0.010603284252856508,0,0.020226991215084887,0,0,0.019125935961071969,0.020145103934271651,0.020226991215084887,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,5.1011465456422985e-17,5.0072293782498696e-17,5.1583288037070055e-17,5.0072293782498696e-17,5.0289919557435081e-17,5.1164438725562215e-17,5.1583288037070055e-17,5.1583288037070055e-17
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, photovoltaic",150000,150000,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,1.9667284706061766e-05,1.8393618855134464e-05,2.1049113587272053e-05,1.8393618855134464e-05,1.8884942862471618e-05,1.9817741601774826e-05,2.0303469141213367e-05,2.1049113587272053e-05,0.16533273786408401,0.1510553767736087,0.17111549973470469,0.1510553767736087,0.1619056575001401,0.1700472417555878,0.1706417776824013,0.17111549973470469,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,8.9020433703841614e-17,8.325514047215769e-17,9.52752312046988e-17,8.325514047215769e-17,8.5479083034389282e-17,8.9701300831310431e-17,9.1900196600874164e-17,9.52752312046988e-17
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, wave energy converter",150000,90084,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,1.4658789237385345e-06,0,2.8500967125762797e-06,0,0,2.5726662979239376e-06,2.763146714522489e-06,2.8500967125762797e-06,0.013158693580759589,0,0.025709900344377208,0,0,0.023725776033300078,0.024318302243720835,0.025709900344377208,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,2.5862088453025062e-16,0,3.0198195470969659e-16,0,2.7734733453012703e-16,2.9114345593368236e-16,3.0198195470969659e-16,3.0198195470969659e-16
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, wind, 1-3MW turbine, offshore",150000,150000,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,2.2878543356884843e-05,2.1930222544057288e-05,2.3309197523597417e-05,2.1930222544057288e-05,2.2839858329269811e-05,2.30046656117184e-05,2.3270275896575648e-05,2.3309197523597417e-05,0.19291181653512382,0.16727448401183675,0.20991444663866321,0.16727448401183675,0.18756093985752023,0.19863286803711436,0.20627538343258034,0.20991444663866321,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,1.2473007061039133e-16,1.1956042651364871e-16,1.2707819862641312e-16,1.1956042651364871e-16,1.2451943018620288e-16,1.2541746915375588e-16,1.2686541371381489e-16,1.2707819862641312e-16
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"electricity production, wind, 1-3MW turbine, onshore",150000,150000,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,1.084275109974663e-05,1.0120298605087054e-05,1.1252414502322971e-05,1.0120298605087054e-05,1.0803646145864686e-05,1.0816741060058727e-05,1.1149202528910973e-05,1.1252414502322971e-05,0.091394145613487562,0.08001035206291468,0.10150478550843411,0.08001035206291468,0.088573858490089988,0.093396719423725141,0.096298447355834441,0.10150478550843411,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,8.6069926499868696e-17,8.0335387199920277e-17,8.932161710866804e-17,8.0335387199920277e-17,8.5759549277925323e-17,8.5863322348925763e-17,8.8502732590040494e-17,8.932161710866804e-17
reference,m0,SSP1,2060,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,"heat and power co-generation, wood chips, 6667 kW",150000,150000,0.00011942771883333333,0.000107639,0.00013934700000000001,0.000107639,0.000110856,0.000115815,0.000121773,0.00013934700000000001,4.1002691562226699e-05,3.8581821353497499e-05,4.298972677236825e-05,3.8581821353497499e-05,3.904993941001256e-05,4.0863895558338931e-05,4.2717130861097028e-05,4.298972677236825e-05,0.34495701880060059,0.30850844849453701,0.36651020464086131,0.30850844849453701,0.34803548164733977,0.34882848027345154,0.35416792822273296,0.36651020464086131,1.7002791133405077e-16,1.5324393162957261e-16,1.9838716864757371e-16,1.5324393162957261e-16,1.5782403402152911e-16,1.648842403029205e-16,1.7336720698254489e-16,1.9838716864757371e-16,5.09807997580282e-15,4.7970681146089964e-15,5.3451495960965314e-15,4.7970681146089964e-15,4.8552681362011197e-15,5.0808246683952364e-15,5.3112330591613892e-15,5.3451495960965314e-15
