rte_consumption_scenario,rte_production_scenario,lcia_method,impact,impact_unit,year,value
reference,m0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2019,31231222213.556915
reference,m0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2020,30470379752.628883
reference,m0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2021,29697721302.780224
reference,m0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2022,28913246864.010925
reference,m0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2023,28116956436.321011
reference,m0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2024,27308850019.71048
reference,m0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2025,26488927614.17931
reference,m1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2019,31231222213.556915
reference,m1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2020,30386030840.833973
reference,m1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2021,29527933480.872169
reference,m1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2022,28656930133.67149
reference,m1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2023,27773020799.231937
reference,m1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2024,26876205477.553528
reference,m1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2025,25966484168.63625
reference,m23,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2019,31231222213.556915
reference,m23,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2020,30386030840.833973
reference,m23,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2021,29527933480.872169
reference,m23,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2022,28656930133.67149
reference,m23,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2023,27773020799.231937
reference,m23,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2024,26876205477.553528
reference,m23,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2025,25966484168.63625
reference,n1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2019,31231222213.556915
reference,n1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2020,30386030840.833973
reference,n1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2021,29527933480.872169
reference,n1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2022,28656930133.67149
reference,n1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2023,27773020799.231937
reference,n1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2024,26876205477.553528
reference,n1,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2025,25966484168.63625
reference,n2,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2019,31231222213.556915
reference,n2,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2020,30386030840.833973
reference,n2,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2021,29527933480.872169
reference,n2,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2022,28656930133.67149
reference,n2,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2023,27773020799.231937
reference,n2,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2024,26876205477.553528
reference,n2,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2025,25966484168.63625
reference,n03,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2019,31231222213.556915
reference,n03,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2020,30233610032.866573
reference,n03,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2021,29221148275.947289
reference,n03,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2022,28193836942.79908
reference,n03,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2023,27151676033.421928
reference,n03,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2024,26094665547.815849
reference,n03,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2025,25022805485.980824
reference,m0,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2019,0.0001561052027738
reference,m0,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2020,0.00015657499495420001
reference,m0,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2021,0.00015703858071010001
reference,m0,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2022,0.00015749596004140001
reference,m0,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2023,0.0001579471329482
reference,m0,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.0001583920994305
reference,m0,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2025,0.00015883085948820001
reference,m1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2019,0.0001561052027738
reference,m1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2020,0.00015651260282490001
reference,m1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2021,0.00015691296640899999
reference,m1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2022,0.0001573062935259
reference,m1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2023,0.00015769258417580001
reference,m1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.00015807183835859999
reference,m1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2025,0.0001584440560743
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2019,0.0001561052027738
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2020,0.00015651260282490001
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2021,0.00015691296640899999
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2022,0.0001573062935259
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2023,0.00015769258417580001
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.00015807183835859999
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2025,0.0001584440560743
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2019,0.0001561052027738
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2020,0.00015651260282490001
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2021,0.00015691296640899999
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2022,0.0001573062935259
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2023,0.00015769258417580001
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.00015807183835859999
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2025,0.0001584440560743
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2019,0.0001561052027738
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2020,0.00015651260282490001
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2021,0.00015691296640899999
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2022,0.0001573062935259
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2023,0.00015769258417580001
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.00015807183835859999
