rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,lcia_method,impact,impact_unit,year,value
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2026,25482328223
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2027,24461827204
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2028,23427424557
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2029,22379120282
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2030,21316914379
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2031,20520302091
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2032,19688650054
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2033,18821958268
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2034,17920226733
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2035,16983455449
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2036,16011644415
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2037,15004793632
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2038,13962903100
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2039,12885972819
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2040,11774002789
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2041,12650610703
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2042,13551218433
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2043,14475825978
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2044,15424433337
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2045,16397040512
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2046,17393647502
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2047,18414254307
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2048,19458860927
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2049,20527467362
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2050,21620073613
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2051,22399383981
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2052,23179615732
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2053,23960768866
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2054,24742843381
reference,m0,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2055,25525839279
