country,sector,year,summary_level,fu_ratio,ratio_label,row_count,ratio_count,num_zero_den_positive_count,mean,p5,p25,p50,p75,p95
AT,Activities auxiliary to financial intermediation (67),2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.0872334004609297,0.017568977297764778,0.032274886823965385,0.07916558182492678,0.11853640749953243,0.1962019530918913
AT,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.10364853588029395,0.024652534504079792,0.0465220521575034,0.09760653710139866,0.12084311344958076,0.21631480660088848
AT,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.07081826504156545,0.017426707799181748,0.023092199056346255,0.05976139778001578,0.1073303846719346,0.14458546499232378
AU,Activities auxiliary to financial intermediation (67),2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.23367643061657953,0.0027475006561019097,0.01428738926996342,0.04966182058246764,0.24735092841399575,0.8989177543816613
AU,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.025851476087987782,0.002571500447727412,0.006002484099824531,0.02517444039345622,0.03756654590556197,0.055343941485594364
AU,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.4415013851451713,0.04323472883837384,0.1382239632604585,0.35061344044725373,0.8085673050886506,0.9032783115603616
BE,Activities auxiliary to financial intermediation (67),2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.18535023878989842,0.01411022902985789,0.05620078052835821,0.12288585052821965,0.2689455786067084,0.4698531254926927
BE,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.08308633023392083,0.011889889895586479,0.027642333137080696,0.08498708257656584,0.1225175626099145,0.16274040265306694
BE,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.2876141473458761,0.06746064791474249,0.14937369792272917,0.299368264050764,0.38330298803112034,0.5224222497799089
BG,Activities auxiliary to financial intermediation (67),2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.10110474093454024,0.007523765046511453,0.02269300427319581,0.0658797891778071,0.16544574186264732,0.2583386118411286
BG,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.179253249425673,0.09180881220876216,0.14275049462179304,0.166195438654543,0.18927331191808106,0.2995869274165501
BG,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.022956232443407457,0.006652564472666059,0.010584203933942875,0.020410375520108163,0.026993844202786145,0.04778634465805529
BR,Activities auxiliary to financial intermediation (67),2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.4003813203077086,0.1413123072060823,0.14704104282054178,0.3143926025185943,0.6761771595392325,0.710942457256721
BR,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.18697660244778103,0.14053724724712813,0.14315992747010736,0.14643236802932413,0.14910000991544792,0.3351797428099714
BR,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.6137860381676362,0.342582806347407,0.6751961713081883,0.6769030563495233,0.7022081948237726,0.7114645555778716
CA,Activities auxiliary to financial intermediation (67),2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.18837908798828437,0.008934376240612687,0.03635565943674866,0.09377669874392405,0.27914476178284914,0.537515303730446
CA,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.028024407852124854,0.008022717870058788,0.014460393697887194,0.03321576742523849,0.041290045760781574,0.042168429162612285
CA,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.34873376812444384,0.15913879168477893,0.20621206071554116,0.33548272188672795,0.5137096501862929,0.5388188487394797
CH,Activities auxiliary to financial intermediation (67),2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.028497740200766637,2.3168237613488197e-06,9.889822876865844e-06,0.005544663546136201,0.053994498149414774,0.09776532357415682
CH,Activities auxiliary to financial intermediation (67),2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.05663574546950997,0.01085033524513128,0.024603532486324735,0.05881513603217501,0.08623906307727897,0.1014977969543902
